id_name,category,price_sar,old_price,sellable_online,link,other_colors,description,designer,dimensions
10411440_TOSTERÖ,Outdoor furniture,175,No old price,TRUE,https://www.ikea.com/sa/en/p/tosteroe-storage-box-outdoor-black-10411440/,No,"Storage box, outdoor,          129x44x79 cm","104.114.40 This waterproof storage box protects your outdoor pads and cushions from rain, sun, dirt, dust and pollen and helps you keep them organised when they’re not being used.Protecting your outdoor pads and cushions in a waterproof storage box is a simple and effective way to make them look new and fresh longer.The colour stays fresh for longer as the fabric is fade resistant. Handles make it easy to move.Make sure the cushions are completely dry before storing them away in the storage box.During the off-season, store the box filled with cushions in a cool dry place indoors.The storage box is light in weight, so you may need to fill it to keep it from moving around in the wind.For example, the storage box can be filled with 3 seat cushions and 3 back cushions for outdoor sofas and 4 decorative cushions.For example, the storage box can be filled with 6 seat/back cushions and 6 decorative cushions.For example, the storage box can be filled with 2 seat cushions and 2 back cushions for outdoor sofas, 2 chair cushions for armchairs and 2-4 decorative cushions.",44x79x129
49054015_ÄPPLARÖ,Outdoor furniture,384,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-wall-panel-gate-leg-table-outdoor-brown-stained-s49054015/,No,"Wall panel+gate-leg table, outdoor,          80x62x158 cm",K Hagberg/M Hagberg,62x158x80
40332682_BROMMÖ,Outdoor furniture,205,No old price,TRUE,https://www.ikea.com/sa/en/p/brommoe-lounger-outdoor-black-brown-stained-brown-40332682/,No,"Lounger, outdoor",IKEA of Sweden,92x89x48
20204925_ÄPPLARÖ,Outdoor furniture,99,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-stool-outdoor-foldable-brown-stained-20204925/,No,"Stool, outdoor",K Hagberg/M Hagberg,38x42x40
99262168_ÄPPLARÖ,Outdoor furniture,2576,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-modular-corner-sofa-3-seat-outdoor-brown-stained-froesoen-duvholmen-dark-grey-s99262168/,Yes,"Modular corner sofa 3-seat, outdoor,          143/223x80x84 cm",Eva Lilja Löwenhielm/K Hagberg/M Hagberg/IKEA of Sweden,80x84x223
39251993_HAVSTEN,Outdoor furniture,950,No old price,TRUE,https://www.ikea.com/sa/en/p/havsten-add-on-unit-in-outdoor-beige-s39251993/,No,"Add-on unit, in/outdoor,          83x94x90 cm",Andreas Fredriksson,94x90x83
20208527_ÄPPLARÖ,Outdoor furniture,255,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-chair-with-armrests-outdoor-brown-stained-brown-20208527/,No,"Chair with armrests, outdoor",K Hagberg/M Hagberg,65x82x62
50313094_FALHOLMEN,Outdoor furniture,155,No old price,TRUE,https://www.ikea.com/sa/en/p/falholmen-chair-with-armrests-outdoor-grey-brown-stained-light-brown-stained-50313094/,No,"Chair with armrests, outdoor",Andreas Fredriksson,55x80x57
10205181_ÄPPLARÖ,Outdoor furniture,255,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-bench-outdoor-brown-stained-brown-10205181/,No,"Bench, outdoor,          114 cm",K Hagberg/M Hagberg,41x44x114
50339206_MASTHOLMEN,Outdoor furniture,465,No old price,TRUE,https://www.ikea.com/sa/en/p/mastholmen-armchair-outdoor-50339206/,No,"Armchair, outdoor",Nike Karlsson,67x80x68
70208539_ÄPPLARÖ,Outdoor furniture,275,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-reclining-chair-outdoor-brown-foldable-brown-stained-brown-70208539/,No,"Reclining chair, outdoor",K Hagberg/M Hagberg,80x101x63
29267334_ÄPPLARÖ,Outdoor furniture,2384,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-3-seat-modular-sofa-outdoor-with-footstool-brown-stained-brown-stained-froesoen-duvholmen-beige-s29267334/,Yes,"3-seat modular sofa, outdoor,          143/223x80x84 cm",IKEA of Sweden/Eva Lilja Löwenhielm/K Hagberg/M Hagberg,80x84x223
70234185_SKARPÖ,Outdoor furniture,179,No old price,TRUE,https://www.ikea.com/sa/en/p/skarpoe-armchair-outdoor-white-70234185/,No,"Armchair, outdoor",Magnus Elebäck,81x71x79
90095428_TÄRNÖ,Outdoor furniture,55,No old price,TRUE,https://www.ikea.com/sa/en/p/taernoe-chair-outdoor-acacia-foldable-black-grey-brown-stained-steel-light-brown-stained-90095428/,No,"Chair, outdoor",IKEA of Sweden,40x79x39
89260075_ÄPPLARÖ,Outdoor furniture,2034,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-3-seat-modular-sofa-outdoor-brown-stained-froesoen-duvholmen-beige-s89260075/,Yes,"3-seat modular sofa, outdoor,          223x80x84 cm",IKEA of Sweden/Eva Lilja Löwenhielm/K Hagberg/M Hagberg,80x84x223
70267133_VÄDDÖ,Outdoor furniture,35.4,SR 59,TRUE,https://www.ikea.com/sa/en/p/vaeddoe-stool-outdoor-white-70267133/,No,"Stool, outdoor",Henrik Preutz,33x46x36
