"";"City";"lat";"lng";"country"
"118";"Canary Islands";28,108524;-16,81441;NA
"119";"Dominica, port unspecified";15,3;-61,4;NA
"120";"Puerto Rico, port unspecified";18,4;-66,1;NA
"121";"Cape Verde Islands";14,905419;-23,501029;NA
"122";"Africa., port unspecified";14,650702;-17,426;NA
"123";"Trinidad de Cuba";23,1;-82,4;NA
"124";"Sao Tome or Princes Island";0,346311;6,740803;NA
"125";"Rio de Janeiro province";-34,6;58,4;NA
"126";"Princes Island";0,346311;6,740803;NA
"127";"Bance Island (Ben's Island)";8,560402;-13,036464;NA
"128";"Dordrecht";-33,078029;27,894709;NA
"129";"Goree";14,661457;-17,400577;NA
"130";"Portuguese Guinea";9,657083;-13,741345;NA
"131";"Sierra Leone, port unspecified";8,512829;-13,233997;NA
"132";"Cape Coast Castle";5,10292;-1,239801;NA
"133";"Goa";15,353192;78,843311;NA
"134";"Azores";39,405789;-31,268603;NA
"135";"Cape of Good Hope";-34,358165;18,474509;NA
"136";"Gold Coast, port unspecified";5,539994;-0,166831;NA
"137";"Mozambique";-25,979289;32,564277;NA
"138";"Sherbro";8,47274;-12,290077;NA
"139";"St. Lucia, port unspecified";-28,389762;32,4383;NA
"140";"Buenos Aires";-34,5997;-58,3819;"Argentina"
"141";"London";51,5072;-0,1275;"United Kingdom"
"142";"Lima";-12,05;-77,0333;"Peru"
"143";"Philadelphia";40,0077;-75,1339;"United States"
"144";"Barcelona";41,3825;2,1769;"Spain"
"145";"Hamburg";53,55;10;"Germany"
"146";"Montevideo";-34,8667;-56,1667;"Uruguay"
"147";"Providence";41,823;-71,4187;"United States"
"148";"Cartagena";10,4236;-75,5253;"Colombia"
"149";"Amsterdam";52,35;4,9166;"Netherlands"
"150";"Rotterdam";51,92;4,48;"Netherlands"
"151";"Lisbon";38,7452;-9,1604;"Portugal"
"152";"Trujillo";-8,1119;-79,0289;"Peru"
"153";"Portsmouth";50,8058;-1,0872;"United Kingdom"
"154";"Bristol";51,45;-2,5833;"United Kingdom"
"155";"Charleston";32,8153;-79,9628;"United States"
"156";"Brest";48,39;-4,49;"France"
"157";"Savannah";32,0281;-81,1784;"United States"
"158";"Plymouth";50,3714;-4,1422;"United Kingdom"
"159";"Norfolk";36,8945;-76,259;"United States"
"160";"Roanoke";37,2785;-79,958;"United States"
"161";"Saint-Louis";16,0333;-16,5;"Senegal"
"162";"Warren";42,4934;-83,027;"United States"
"163";"Newport";51,5833;-3;"United Kingdom"
"164";"Cadiz";36,535;-6,2975;"Spain"
"165";"Limerick";52,6653;-8,6238;"Ireland"
"166";"Lancaster";54,047;-2,801;"United Kingdom"
"167";"Middelburg";51,502;3,61;"Netherlands"
"168";"Newbury";51,401;-1,323;"United Kingdom"
"169";"Dieppe";49,92;1,08;"France"
"170";"Groningen";5,797;-55,481;"Suriname"
"171";"Cardenas";23,0428;-81,2036;"Cuba"
"172";"Chester";53,19;-2,89;"United Kingdom"
"173";"Middletown";40,3893;-74,082;"United States"
"174";"Kingston";41,9295;-73,9968;"United States"
"175";"Bayonne";43,49;-1,48;"France"
"176";"Oxford";34,3627;-89,5336;"United States"
"177";"Boston";52,974;-0,0214;"United Kingdom"
"178";"Salem";42,7902;-71,2202;"United States"
"179";"New London";41,3502;-72,1023;"United States"
"180";"Hampton";42,9391;-70,837;"United States"
"181";"Montrose";56,708;-2,467;"United Kingdom"
"182";"Freetown";41,7714;-71,0157;"United States"
"183";"Odessa";28,182;-82,553;"United States"
"184";"Dartmouth";50,351;-3,579;"United Kingdom"
"185";"St. Thomas";39,9239;-77,8063;"United States"
