animal_id,animal_sex,prey_p_month,observed,observed_n
Tilly,f,3,hrs_indoors,12.5
Tilly,f,3,age_years,5
Balu,f,3,hrs_indoors,2.5
Balu,f,3,age_years,7
Missy,f,3,hrs_indoors,7.5
Missy,f,3,age_years,3
Dexter2,m,0,hrs_indoors,2.5
Dexter2,m,0,age_years,1
Fairclough,m,0,hrs_indoors,17.5
Fairclough,m,0,age_years,4
Keegan,m,3,hrs_indoors,7.5
Keegan,m,3,age_years,3
Maggie,f,0,hrs_indoors,22.5
Maggie,f,0,age_years,3
Lily,f,0,hrs_indoors,22.5
Lily,f,0,age_years,9
Abba,f,3,hrs_indoors,7.5
Abba,f,3,age_years,3
Worf,f,7.5,hrs_indoors,2.5
Worf,f,7.5,age_years,8
Pants,m,0,hrs_indoors,12.5
Pants,m,0,age_years,8
Jim,f,3,hrs_indoors,12.5
Jim,f,3,age_years,8
Lucy,f,0.5,hrs_indoors,17.5
Lucy,f,0.5,age_years,5
Macaulay Mccat,f,17.5,hrs_indoors,2.5
Macaulay Mccat,f,17.5,age_years,6
Neil,m,0,hrs_indoors,7.5
Neil,m,0,age_years,7
Siberia,m,3,hrs_indoors,7.5
Siberia,m,3,age_years,8
Moscow,m,0.5,hrs_indoors,12.5
Moscow,m,0.5,age_years,1
Neva,f,0,hrs_indoors,17.5
Neva,f,0,age_years,4
Alfie,m,3,hrs_indoors,7.5
Alfie,m,3,age_years,3
Casper,m,0.5,hrs_indoors,12.5
Casper,m,0.5,age_years,6
Ginge,m,17.5,hrs_indoors,2.5
Ginge,m,17.5,age_years,3
Jasper,m,12.5,hrs_indoors,7.5
Jasper,m,12.5,age_years,2
Charlie3,m,7.5,hrs_indoors,12.5
Charlie3,m,7.5,age_years,5
Millie,f,7.5,hrs_indoors,12.5
Millie,f,7.5,age_years,3
SmokeyLongnose,f,0.5,hrs_indoors,7.5
SmokeyLongnose,f,0.5,age_years,9
CJ,m,0.5,hrs_indoors,22.5
CJ,m,0.5,age_years,5
Seb,m,3,hrs_indoors,12.5
Seb,m,3,age_years,3
